conflict_id,state,district,conflict_title,year_started,year_ended,conflict_status,sector,conflict_type,people_affected,land_area_ha,investment_crore,source_url,source_name,source_date
LCW-KA-001,Karnataka,Tumkur,Farmers Yet to Receive Compensation for Tumkur-Honnavar National Highway in Karnataka,2016,,Ongoing,Infrastructure,Roads,2016,81,1035,https://www.landconflictwatch.org/conflicts/farmers-await-compensation-for-tumkur-honnavar-national-highway-in-karnataka,Land Conflict Watch,2018-09
LCW-KA-002,Karnataka,Ramanagara,Karnataka Government Destroys Agricultural Land of Tribal Community for Housing Project,2018,,Ongoing,Infrastructure,Township/Real Estate,2018,6,,https://www.landconflictwatch.org/conflicts/karnataka-government-destroys-agricultural-land-of-tribal-community-for-housing-project,Land Conflict Watch,2018-10
LCW-KA-003,Karnataka,Bengaluru Rural,Government Orders Over 100 Families in Bengaluru Rural District To Evacuate Land,2014,,Ongoing,Land Use,Other Kind of Land Use,2014,13,,https://www.landconflictwatch.org/conflicts/over-100-families-in-bengaluru-rural-district-ordered-to-evacuate-land,Land Conflict Watch,2018-10
LCW-KA-004,Karnataka,Tumkur,30 Families in Karnataka's Tumkur District Fight against Land Eviction by Government,2014,,Ongoing,Land Use,Encroachment by Non-Right Holders,2014,6,,https://www.landconflictwatch.org/conflicts/30-families-in-karnataka-s-tumkur-district-fight-against-land-eviction-by-government,Land Conflict Watch,2018-09
LCW-KA-005,Karnataka,Mandya,Mega Food Park in Karnataka's Mandya Hit by Roadblocks Farmers Demand Compensation,2013,,Ongoing,Industry,Other Kind of Industry,2013,112,,https://www.landconflictwatch.org/conflicts/delay-in-mega-food-park,Land Conflict Watch,2016-10
LCW-AP-001,Andhra Pradesh,Prakasam,Contesting compensation and resettlement in Andhra Pradesh's Veligonda Irrigation project,2005,,Ongoing,Power,Irrigation Dam,2005,3069.61,5150,https://www.landconflictwatch.org/conflicts/poola-subbaiah-irrigation-project,Land Conflict Watch,2016-10
LCW-AP-002,Andhra Pradesh,Visakhapatnam,Andhra Pradesh Government Scraps Proposal to Mine in Gangalamma Konda Hills,2010,,Ongoing,Mining,Other Kind of Mining,2010,121,,https://www.landconflictwatch.org/conflicts/andhra-pradesh-government-scraps-proposal-to-mine-in-gangalamma-konda-hills,Land Conflict Watch,2016-09
LCW-AP-003,Andhra Pradesh,Visakhapatnam,Farmers Refuse To Give Up Land for Logistics Park in Andhra Pradesh,2015,,Ongoing,Industry,Manufacturing,2015,197,,https://www.landconflictwatch.org/conflicts/logistics-park,Land Conflict Watch,2016-09
LCW-WB-001,West Bengal,Bankura,Explosions from Bengal's Barjora Coal Mine Crack Houses Residents Demand Rehabilitation Compensation,2015,,Ongoing,Mining,Coal Mining,2015,260,,https://www.landconflictwatch.org/conflicts/explosions-from-bengal-s-barjora-coal-mine-crack-houses-residents-demand-rehabilitation-compensation,Land Conflict Watch,2020-09
LCW-WB-002,West Bengal,Bankura,Workers Demand Wages from DPL for Trans Damodar Colliery in West Bengal,2015,,Ongoing,Mining,Coal Mining,2015,379,,https://www.landconflictwatch.org/conflicts/workers-demand-wages-from-dpl-for-trans-damodar-colliery-in-west-bengal,Land Conflict Watch,2020-09
LCW-WB-003,West Bengal,Kolkata,Slum Dwellers in Kolkata Assaulted Forcefully Evicted for Beautification Drive,2017,,Ongoing,Industry,Tourism,2017,, ,https://www.landconflictwatch.org/conflicts/slum-dwellers-in-kolkata-assaulted-forcefully-evicted-for-beautification-drive,Land Conflict Watch,2017-09
LCW-TS-001,Telangana,Medak,Farmers in Telangana's Medak District Demand Ownership of Agricultural Land,1948,,Ongoing,Land Use,Communal/Ethnic Conflict,1948,578,,https://www.landconflictwatch.org/conflicts/farmers-in-telangana-s-medak-district-demand-ownership-of-agricultural-land,Land Conflict Watch,2020
