state,year,raw_values,pdf_page,y_position
Andhra Pradesh,2015,832|1410|2242|6209|7532|1323|9018|7619|7278|8678,149,148.58
Andhra Pradesh,2016,860|1496|2356|6077|7418|1341|9003|7573|7294|8724,149,157.34
Andhra Pradesh,2017,940|1443|2383|6048|7445|1397|8999|7490|7297|8807,149,166.1
Andhra Pradesh,2018,936|1446|2383|6049|7297|1248|8997|7495|7299|8802,149,174.86
Andhra Pradesh,2019,926|1452|2377|5884|7287|1403|8828|7335|7305|8797,149,183.62
Andhra Pradesh,2020,885|1460|2345|5915|7407|1492|8817|7375|7307|8749,149,192.38
Andhra Pradesh,2021,894|1499|2393|6038|7328|1290|8987|7537|7309|8759,149,201.14
Andhra Pradesh,2022,952|1745|2696|5725|6744|1019|8979|7470|7318|8827,149,209.9
Andhra Pradesh,2023,1035|2429|3464|4955|5744|788|8977|7384|7320|8913,149,218.66
Andhra Pradesh,2024,1039|1460|2499|5914|6723|809|8969|7374|7327|8923,149,227.42
Arunachal Pradesh,2015,64|36|100|227|301|75|423|262|6805|6966,149,250.46
Arunachal Pradesh,2016,62|33|96|232|313|81|423|265|6805|6963,149,259.22
Arunachal Pradesh,2017,62|34|96|233|316|84|424|267|6749|6906,149,267.98
Arunachal Pradesh,2018,61|33|95|234|320|86|424|267|6749|6905,149,276.74
Arunachal Pradesh,2019,61|33|94|235|320|86|424|267|6723|6879,149,285.5
Arunachal Pradesh,2020,61|33|94|242|328|86|431|275|6723|6879,149,294.26
Arunachal Pradesh,2021,61|33|94|243|338|95|431|276|6723|6878,149,303.02
Arunachal Pradesh,2022,57|33|90|253|343|90|431|286|6723|6868,149,311.78
Arunachal Pradesh,2023,54|32|86|258|348|90|431|291|6723|6863,149,320.54
Arunachal Pradesh,2024,52|32|84|264|354|90|431|296|6667|6803,149,329.3
Assam,2015,88|94|182|2801|4060|1258|3343|2896|4501|4948,149,346.82
Assam,2016,92|105|197|2774|4087|1314|3337|2879|4507|4965,149,355.58
Assam,2017,93|106|199|2723|4045|1323|3302|2829|4542|5015,149,364.34
Assam,2018,92|108|199|2723|4004|1281|3305|2831|4539|5013,149,373.1
Assam,2019,99|117|217|2699|3975|1275|3296|2817|4548|5027,149,381.86
Assam,2020,94|114|208|2724|3888|1165|3295|2838|4536|4993,149,390.62
Assam,2021,96|114|210|2749|3872|1123|3321|2863|4510|4968,149,399.38
Assam,2022,96|112|208|2744|4034|1290|3315|2856|4515|4973,149,408.14
Assam,2023,93|107|200|2756|4122|1365|3312|2863|4517|4966,149,416.9
Assam,2024,92|100|192|2759|4084|1325|3304|2859|4525|4970,149,425.66
Bihar,2015,119|961|1081|5205|7572|2368|6578|6166|2782|3193,149,443.18
