page,line_index,y,text
149,0,55.82,TABLE 5
149,1,62.42,STATE WISE LAND USE CLASSIFICATION - 2015-16 TO 2024-25
149,2,75.62,(Thousand Hectares)
149,3,81.98,State/ Union Fallow Lands Net area Gross Area sown more Agri. Land/ Culti- Cultivated Un-cultivable Un-cultivated
149,4,88.22,Territory/ Year Sown Cropped Area than once vable land/ Cultur- land land land (col.3-19)
149,5,94.46,(col.16-15) able land/ Arable (col.13+15) (col.3-18)
149,6,101.06,Fallow lands Current Total land
149,7,107.3,other than fallows (Col.12+13) (col.9+10+14+15)
149,8,113.54,current fallows
149,9,126.74,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21)
149,10,133.46,ANDHRA
149,11,139.82,PRADESH
149,12,148.58,2015-16 832 1410 2242 6209 7532 1323 9018 7619 7278 8678
149,13,157.34,2016-17 860 1496 2356 6077 7418 1341 9003 7573 7294 8724
149,14,166.1,2017-18 940 1443 2383 6048 7445 1397 8999 7490 7297 8807
149,15,174.86,2018-19 936 1446 2383 6049 7297 1248 8997 7495 7299 8802
149,16,183.62,2019-20 926 1452 2377 5884 7287 1403 8828 7335 7305 8797
149,17,192.38,2020-21 885 1460 2345 5915 7407 1492 8817 7375 7307 8749
149,18,201.14,2021-22 894 1499 2393 6038 7328 1290 8987 7537 7309 8759
149,19,209.9,2022-23 952 1745 2696 5725 6744 1019 8979 7470 7318 8827
149,20,218.66,2023-24 1035 2429 3464 4955 5744 788 8977 7384 7320 8913
149,21,227.42,2024-25(p) 1039 1460 2499 5914 6723 809 8969 7374 7327 8923
149,22,235.34,ARUNACHAL
149,23,241.7,PRADESH
149,24,250.46,2015-16 64 36 100 227 301 75 423 262 6805 6966
149,25,259.22,2016-17 62 33 96 232 313 81 423 265 6805 6963
149,26,267.98,2017-18 62 34 96 233 316 84 424 267 6749 6906
149,27,276.74,2018-19 61 33 95 234 320 86 424 267 6749 6905
149,28,285.5,2019-20 61 33 94 235 320 86 424 267 6723 6879
149,29,294.26,2020-21 61 33 94 242 328 86 431 275 6723 6879
149,30,303.02,2021-22 61 33 94 243 338 95 431 276 6723 6878
149,31,311.78,2022-23 57 33 90 253 343 90 431 286 6723 6868
149,32,320.54,2023-24 54 32 86 258 348 90 431 291 6723 6863
149,33,329.3,2024-25(p) 52 32 84 264 354 90 431 296 6667 6803
149,34,338.06,ASSAM
149,35,346.82,2015-16 88 94 182 2801 4060 1258 3343 2896 4501 4948
149,36,355.58,2016-17 92 105 197 2774 4087 1314 3337 2879 4507 4965
