page,line,type,state,year,values
149,12,STATE_COMBINED,Andhra Pradesh,,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21) | ANDHRA | PRADESH
149,24,STATE_COMBINED,Arunachal Pradesh,,2024-25(p) 1039 1460 2499 5914 6723 809 8969 7374 7327 8923 | ARUNACHAL | PRADESH
149,35,STATE,Assam,,ASSAM
149,36,STATE_COMBINED,Assam,,ASSAM | 2015-16 88 94 182 2801 4060 1258 3343 2896 4501 4948
149,46,STATE,Bihar,,BIHAR
149,47,STATE_COMBINED,Bihar,,BIHAR | 2015-16 119 961 1081 5205 7572 2368 6578 6166 2782 3193
149,57,STATE,Chhattisgarh,,CHHATTISGARH
149,58,STATE_COMBINED,Chhattisgarh,,CHHATTISGARH | 2015-16 263 281 545 4651 5640 989 5561 4932 8228 8858
149,68,STATE,Goa,,GOA
149,69,STATE_COMBINED,Goa,,GOA | 2015-16 14 14 130 157 27 197 144 164 217
150,13,STATE,Gujarat,,GUJARAT
150,14,STATE_COMBINED,Gujarat,,GUJARAT | 2015-16 19602 18810 2106 1363 2108 3472 804 2 1959 2766
150,24,STATE,Haryana,,HARYANA
150,25,STATE_COMBINED,Haryana,,HARYANA | 2015-16 4421 4371 41 395 113 508 25 8 44 78
150,36,STATE_COMBINED,Himachal Pradesh,,2024-25(p) 4421 4425 30 155 162 317 48 181 103 332 | HIMACHAL | PRADESH
150,47,STATE,Jharkhand,,JHARKHAND
150,48,STATE_COMBINED,Jharkhand,,JHARKHAND | 2015-16 7972 7970 2239 716 586 1302 116 100 363 579
150,58,STATE,Karnataka,,KARNATAKA
150,59,STATE_COMBINED,Karnataka,,KARNATAKA | 2015-16 19179 19050 3073 1476 793 2269 907 276 409 1592
150,69,STATE,Kerala,,KERALA
150,70,STATE_COMBINED,Kerala,,KERALA | 2015-16 3886 3886 1082 541 13 554 3 99 102
151,12,STATE_COMBINED,Madhya Pradesh,,(1) (12) (13) (14) (15) (16) (17) (18) (19) (20) (21) | MADHYA | PRADESH
151,23,STATE,Maharashtra,,MAHARASHTRA*
151,24,STATE_COMBINED,Maharashtra,,MAHARASHTRA* | 2015-16 1255 1477 2732 17192 23467 6275 21062 18669 9696 12089
151,34,STATE,Manipur,,MANIPUR*
151,35,STATE_COMBINED,Manipur,,MANIPUR* | 2015-16 0 0 0 437 437 444 437 1728 1734
151,45,STATE,Meghalaya,,MEGHALAYA
151,46,STATE_COMBINED,Meghalaya,,MEGHALAYA | 2015-16 153 60 213 245 303 57 1008 305 1185 1887
151,56,STATE,Mizoram,,MIZORAM
151,57,STATE_COMBINED,Mizoram,,MIZORAM | 2015-16* 127 47 174 145 188 44 367 191 1672 1848
151,67,STATE,Nagaland,,NAGALAND
151,68,STATE_COMBINED,Nagaland,,NAGALAND | 2015-16 100 50 150 384 504 120 695 434 958 1219
152,11,STATE,Odisha,,ODISHA
152,12,STATE_COMBINED,Odisha,,ODISHA | 2015-16 655 1028 1683 4198 4803 605 6648 5226 8779 10201
152,22,STATE,Punjab,,PUNJAB
152,23,STATE_COMBINED,Punjab,,PUNJAB | 2015-16 6 77 82 4137 7872 3734 4245 4214 788 819
152,33,STATE,Rajasthan,,RAJASTHAN
