state,year,fallow_other_than_current,current_fallow,total_fallow,net_area_sown,gross_cropped_area,area_sown_more_than_once,agricultural_land,cultivated_land,uncultivable_land,uncultivated_land,cropping_intensity,double_cropped_share,fallow_share,current_fallow_share,cultivated_land_share,uncultivated_share,net_area_sown_change,gross_cropped_area_change,agricultural_land_change,cultivated_land_change,fallow_change,net_area_sown_delta,gross_cropped_area_delta,agricultural_land_delta,cultivated_land_delta,fallow_delta,agricultural_land_from_baseline,net_area_sown_from_baseline,fallow_from_baseline,agricultural_land_3yr_mean,fallow_3yr_mean,cropping_intensity_3yr_mean,conflict_count,people_affected,conflict_land_area_ha,conflict_observed,conflict_next_period,target_available
Andhra Pradesh,2015,832.0,1410.0,2242.0,6209.0,7532.0,1323.0,9018.0,7619.0,7278.0,8678.0,1.2130777903042014,0.2130777903043625,0.2486138833443947,0.1563539587491509,0.8448658239076463,0.9622976269681788,,,,,,,,,,,0.0,0.0,0.0,9018.0,2242.0,1.2130777903042014,1.0,2015.0,197.0,True,,False
Andhra Pradesh,2016,860.0,1496.0,2356.0,6077.0,7418.0,1341.0,9003.0,7573.0,7294.0,8724.0,1.2206680928087508,0.2206680928089154,0.2616905475952169,0.1661668332777778,0.8411640564255424,0.969010329889929,-0.021259462071187,-0.0151354221986191,-0.0016633399866933,-0.0060375377346107,0.0508474576271187,-132.0,-114.0,-15.0,-46.0,114.0,-0.001663339986693,-0.0212594620711835,0.0508474576270959,9010.5,2299.0,1.216872941556476,0.0,0.0,0.0,False,,False
Andhra Pradesh,2017,940.0,1443.0,2383.0,6048.0,7445.0,1397.0,8999.0,7490.0,7297.0,8807.0,1.2309854497352462,0.2309854497354115,0.2648072008000595,0.1603511501277741,0.8323147016334222,0.9786642960327836,-0.0047720914925127,0.0036397950930169,-0.0004442963456625,-0.0109599894361547,0.0114601018675721,-29.0,27.0,-4.0,-83.0,27.0,-0.0021068973164779,-0.0259301014656102,0.0628902765387765,9006.666666666666,2327.0,1.2215771109493996,0.0,0.0,0.0,False,,False
Andhra Pradesh,2018,936.0,1446.0,2383.0,6049.0,7297.0,1248.0,8997.0,7495.0,7299.0,8802.0,1.2063150934036688,0.2063150934038342,0.2648660664665705,0.1607202400800088,0.8330554629319958,0.978326108702792,0.0001653439153439,-0.0198791134989926,-0.0002222469163239,0.0006675567423231,0.0,1.0,-148.0,-2.0,5.0,0.0,-0.0023286759813703,-0.0257690449347679,0.0628902765387765,8999.666666666666,2374.0,1.2193228786492218,0.0,0.0,0.0,False,,False
Andhra Pradesh,2019,926.0,1452.0,2377.0,5884.0,7287.0,1403.0,8828.0,7335.0,7305.0,8797.0,1.2384432358937392,0.2384432358939091,0.2692569098323211,0.1644766651563021,0.8308790212957826,0.9964884458539875,-0.0272772359067614,-0.001370426202549,-0.0187840391241524,-0.0213475650433622,-0.0025178346621904,-165.0,-10.0,-169.0,-160.0,-6.0,-0.0210689731647792,-0.0523433725237474,0.0602140945584031,8941.333333333334,2381.0,1.225247926344218,0.0,0.0,0.0,False,,False
Andhra Pradesh,2020,885.0,1460.0,2345.0,5915.0,7407.0,1492.0,8817.0,7375.0,7307.0,8749.0,1.2522400676244712,0.2522400676246403,0.2659634796415713,0.1655892026766286,0.836452308041189,0.9922876261765916,0.0052685248130524,0.0164676821737339,-0.0012460353420933,0.0054533060668029,-0.0134623474968447,31.0,120.0,-11.0,40.0,-32.0,-0.0222887558216874,-0.0473506200676361,0.0459411239964112,8880.666666666666,2368.333333333333,1.2323327989739596,0.0,0.0,0.0,False,,False
Andhra Pradesh,2021,894.0,1499.0,2393.0,6038.0,7328.0,1290.0,8987.0,7537.0,7309.0,8759.0,1.213646902947795,0.2136469029479606,0.2662735061755573,0.1667964838099291,0.8386558362077624,0.9746300211415404,0.0207945900253592,-0.0106655866072633,0.0192809345582398,0.0219661016949153,0.0204690831556502,123.0,-79.0,170.0,162.0,48.0,-0.0034375693058323,-0.0275406667740332,0.067350579839399,8877.333333333334,2371.6666666666665,1.2347767354886685,0.0,0.0,0.0,False,,False
Andhra Pradesh,2022,952.0,1745.0,2696.0,5725.0,6744.0,1019.0,8979.0,7470.0,7318.0,8827.0,1.17799126637534,0.1779912663755147,0.3002561532464305,0.1943423543824262,0.8319411961241974,0.9830716115379236,-0.0518383570718781,-0.0796943231441048,-0.0008901746967842,-0.0088894785723763,0.1266193063100711,-313.0,-584.0,-8.0,-67.0,303.0,-0.004324683965402,-0.077951360927673,0.2024977698482593,8927.666666666666,2478.0,1.2146260789825354,0.0,0.0,0.0,False,,False
Andhra Pradesh,2023,1035.0,2429.0,3464.0,4955.0,5744.0,788.0,8977.0,7384.0,7320.0,8913.0,1.1592330978806944,0.1590312815337721,0.3858750139244306,0.2705803720619059,0.8225465077419157,0.9928706694885828,-0.1344978165938865,-0.1482799525504151,-0.0002227419534469,-0.0115127175368139,0.28486646884273,-770.0,-1000.0,-2.0,-86.0,768.0,-0.0045464626302944,-0.2019648896762438,0.5450490633360637,8981.0,2851.0,1.18362375573461,0.0,0.0,0.0,False,,False
Andhra Pradesh,2024,1039.0,1460.0,2499.0,5914.0,6723.0,809.0,8969.0,7374.0,7327.0,8923.0,1.1367940480214511,0.1367940480216204,0.2786263797524497,0.1627829189430078,0.8221652358121505,0.994871223101684,0.1935418768920283,0.1704387186629525,-0.0008911663139132,-0.0013542795232935,-0.2785796766743649,959.0,979.0,-8.0,-10.0,-965.0,-0.0054335772898641,-0.0475116765984784,0.114629794825997,8975.0,2886.333333333333,1.1580061374258286,0.0,0.0,0.0,False,,False
